self [us] ; cumulative ; imported package
     4956 ;       8844 ;                                 code
     9603 ;      31246 ;                               pdb
     4318 ;      35563 ;                             elftools.construct.debug
     6505 ;     108367 ;                           elftools.construct
     3757 ;     112124 ;                         elftools.common.utils
     3324 ;       3324 ;                         pwnlib.atexit
    34854 ;      34854 ;                         pwnlib.elf.datatypes
     4103 ;       4103 ;                           mmap
     2937 ;       2937 ;                             elftools.elf
     5356 ;       8293 ;                           elftools.elf.constants
   153860 ;     153860 ;                             elftools.elf.enums
     8794 ;     162654 ;                           elftools.elf.descriptions
     3993 ;       3993 ;                             resource
     4258 ;       4258 ;                               elftools.common.construct_utils
     5945 ;      10203 ;                             elftools.elf.structs
     3257 ;       3257 ;                               elftools.elf.notes
     8758 ;      12014 ;                             elftools.elf.sections
     4255 ;       4255 ;                               elftools.elf.hash
     3840 ;       3840 ;                               elftools.elf.segments
     7183 ;       7183 ;                               elftools.elf.relocation
     6307 ;      21583 ;                             elftools.elf.dynamic
     4675 ;       4675 ;                             elftools.elf.gnuversions
     3281 ;       3281 ;                               elftools.dwarf
     3918 ;       3918 ;                                       _queue
     7484 ;      11401 ;                                     queue
     8943 ;      20343 ;                                   logging.handlers
     8130 ;       8130 ;                                   socketserver
    28248 ;      56720 ;                                 logging.config
     5706 ;       5706 ;                                 elftools.dwarf.enums
     6692 ;      69116 ;                               elftools.dwarf.structs
     3374 ;       3374 ;                                   elftools.dwarf.dwarf_util
     7799 ;      11173 ;                                 elftools.dwarf.die
     4437 ;      15609 ;                               elftools.dwarf.compileunit
     3534 ;       3534 ;                               elftools.dwarf.abbrevtable
     4028 ;       4028 ;                                 elftools.dwarf.constants
     6288 ;      10315 ;                               elftools.dwarf.lineprogram
     9075 ;       9075 ;                               elftools.dwarf.callframe
    11472 ;      11472 ;                               elftools.dwarf.locationlists
     7387 ;       7387 ;                               elftools.dwarf.ranges
     5515 ;       5515 ;                               elftools.dwarf.aranges
     5635 ;       5635 ;                               elftools.dwarf.namelut
    13826 ;     154761 ;                             elftools.dwarf.dwarfinfo
     2676 ;       2676 ;                               elftools.ehabi
     7335 ;       7335 ;                               elftools.ehabi.decoder
     2867 ;       2867 ;                               elftools.ehabi.constants
     3747 ;       3747 ;                               elftools.ehabi.structs
     6173 ;      22796 ;                             elftools.ehabi.ehabiinfo
     8747 ;     238768 ;                           elftools.elf.elffile
     5954 ;       5954 ;                             intervaltree.interval
     4503 ;       4503 ;                               intervaltree.node
    12159 ;      12159 ;                                 sortedcontainers.sortedlist
     6702 ;       6702 ;                                 sortedcontainers.sortedset
     7544 ;       7544 ;                                 sortedcontainers.sorteddict
     6793 ;      33195 ;                               sortedcontainers
    29810 ;      67507 ;                             intervaltree.intervaltree
     4607 ;      78067 ;                           intervaltree
     3392 ;       3392 ;                                   dateutil._version
     4371 ;       7762 ;                                 dateutil
     3060 ;       3060 ;                                     dateutil._common
     7285 ;      10345 ;                                   dateutil.relativedelta
     4901 ;       4901 ;                                       dateutil.tz._common
     3921 ;       3921 ;                                       dateutil.tz._factories
      636 ;        636 ;                                         six.moves.winreg
     4126 ;       4762 ;                                       dateutil.tz.win
    13827 ;      27409 ;                                     dateutil.tz.tz
     4151 ;      31559 ;                                   dateutil.tz
    11659 ;      53562 ;                                 dateutil.parser._parser
     7041 ;       7041 ;                                 dateutil.parser.isoparser
     5350 ;      73714 ;                               dateutil.parser
     3375 ;       3375 ;                                     pwnlib.exception
     2988 ;       2988 ;                                     pwnlib.term.spinners
    12082 ;      18444 ;                                   pwnlib.log
     3649 ;       3649 ;                                       pwnlib.tubes.buffer
     3222 ;       3222 ;                                       pwnlib.util
     6145 ;       6145 ;                                                 multiprocessing.process
     6663 ;       6663 ;                                                 multiprocessing.reduction
     8402 ;      21209 ;                                               multiprocessing.context
     5364 ;      26573 ;                                             multiprocessing
    19886 ;      46459 ;                                           pwnlib.util.iters
     3504 ;       3504 ;                                           pwnlib.util.lists
     8448 ;       8448 ;                                           pwnlib.util.packing
     5848 ;       5848 ;                                           pwnlib.util.cyclic
     9369 ;      73626 ;                                         pwnlib.util.fiddling
     5927 ;      79553 ;                                       pwnlib.util.misc
    11110 ;      97532 ;                                     pwnlib.tubes.tube
     4606 ;     102137 ;                                   pwnlib.tubes.sock
     5444 ;     126025 ;                                 pwnlib.tubes.listen
     3863 ;       3863 ;                                     tty
     4091 ;       7953 ;                                   pty
     3808 ;       3808 ;                                   pwnlib.qemu
     5563 ;       5563 ;                                   pwnlib.util.hashes
     7626 ;      24948 ;                                 pwnlib.tubes.process
    20602 ;      20602 ;                                 pwnlib.tubes.remote
     7379 ;       7379 ;                                     serial.serialutil
     7342 ;       7342 ;                                     serial.serialposix
     4965 ;      19686 ;                                   serial
     4006 ;      23692 ;                                 pwnlib.tubes.serialtube
     1277 ;       1277 ;                                   six.moves.queue
     4450 ;       5726 ;                                 pwnlib.tubes.server
     1455 ;       1455 ;                                     pwd
      977 ;        977 ;                                     grp
    15863 ;      18294 ;                                   tarfile
     3437 ;       3437 ;                                   pwnlib.util.safeeval
     4151 ;       4151 ;                                   pwnlib.util.sh_string
    13386 ;      39266 ;                                 pwnlib.tubes.ssh
     6254 ;     246509 ;                               pwnlib.tubes
     3108 ;       3108 ;                                 pwnlib.protocols
    45338 ;      45338 ;                                     psutil._common
     4503 ;       4503 ;                                     psutil._compat
    15087 ;      15087 ;                                       psutil._psposix
     3077 ;       3077 ;                                       psutil._psutil_linux
     2745 ;       2745 ;                                       psutil._psutil_posix
    57749 ;      78656 ;                                     psutil._pslinux
    19589 ;     148086 ;                                   psutil
     3868 ;       3868 ;                                     ctypes.util
     6883 ;      10750 ;                                   pwnlib.util.net
     5067 ;     163902 ;                                 pwnlib.util.proc
    21799 ;     188808 ;                               pwnlib.protocols.adb
    13750 ;     522779 ;                             pwnlib.adb.adb
     2884 ;       2884 ;                             pwnlib.adb.protocol
     4433 ;       4433 ;                             pwnlib.adb.bootimg
     4839 ;       4839 ;                             pwnlib.adb.bootloader
     4842 ;     539775 ;                           pwnlib.adb
     4089 ;       4089 ;                                 pwnlib.constants.constant
     4418 ;       8506 ;                               pwnlib.constants
     4474 ;       4474 ;                               pwnlib.shellcraft.internal
    15085 ;      15085 ;                               pwnlib.shellcraft.registers
     7522 ;      35585 ;                             pwnlib.shellcraft
     8276 ;      43860 ;                           pwnlib.asm
    10195 ;      10195 ;                           pwnlib.elf.config
