Time [s],Pru00,Pru01
46.747403134,1,0
46.747403258,1,1
46.747413668,1,0
46.847356084,0,0
46.847403240,1,0
46.847403636,1,1
46.847414074,1,0
46.947357124,0,0
46.947402850,1,0
46.947403040,1,1
46.947413464,1,0
47.047354972,0,0
47.047402670,1,0
47.047402860,1,1
47.047413278,1,0
47.147353472,0,0
47.147402508,1,0
47.147402682,1,1
47.147413092,1,0
47.247359238,0,0
47.247402374,1,0
47.247402564,1,1
47.247412988,1,0
47.347355256,0,0
47.347402322,1,0
47.347402512,1,1
47.347412970,1,0
47.447357372,0,0
47.447402072,1,0
47.447402472,1,1
47.447412880,1,0
47.547356280,0,0
47.547402020,1,0
47.547402210,1,1
47.547412620,1,0
47.647354080,0,0
47.647401778,1,0
47.647401968,1,1
47.647412376,1,0
47.747358596,0,0
47.747401844,1,0
47.747402054,1,1
47.747412462,1,0
47.847354014,0,0
47.847401642,1,0
47.847402052,1,1
47.847412460,1,0
47.947356512,0,0
47.947401292,1,0
47.947401482,1,1
47.947411934,1,0
48.047354222,0,0
48.047401260,1,0
48.047401400,1,1
48.047411834,1,0
48.147353108,0,0
48.147401156,1,0
48.147401346,1,1
48.147411754,1,0
48.247352714,0,0
48.247400792,1,0
48.247400982,1,1
48.247411396,1,0
48.347352612,0,0
48.347400650,1,0
48.347400840,1,1
48.347411294,1,0
48.447353384,0,0
48.447400680,1,0
48.447400806,1,1
48.447411214,1,0
48.547353170,0,0
48.547400776,1,0
48.547401412,1,1
48.547411820,1,0
48.647353694,0,0
48.647400114,1,0
48.647400304,1,1
48.647410712,1,0
48.747353222,0,0
48.747400310,1,0
48.747400740,1,1
48.747411148,1,0
48.847355060,0,0
48.847400100,1,0
48.847400290,1,1
48.847410708,1,0
48.947351730,0,0
48.947399768,1,0
48.947399894,1,1
48.947410352,1,0
49.047352218,0,0
49.047399606,1,0
49.047399796,1,1
49.047410250,1,0
49.147353104,0,0
49.147399502,1,0
49.147399676,1,1
49.147410084,1,0
49.247350710,0,0
49.247399438,1,0
49.247399818,1,1
49.247410236,1,0
49.347355768,0,0
49.347399198,1,0
49.347399388,1,1
49.347409796,1,0
49.447351460,0,0
49.447399166,1,0
49.447399362,1,1
49.447409780,1,0
49.547350366,0,0
49.547399062,1,0
49.547399252,1,1
49.547409676,1,0
49.647349822,0,0
49.647398858,1,0
49.647399048,1,1
49.647409486,1,0
49.747349758,0,0
49.747398786,1,0
49.747398926,1,1
49.747409384,1,0
49.847350868,0,0
49.847398556,1,0
49.847398696,1,1
49.847409114,1,0
49.947354996,0,0
49.947398394,1,0
49.947398534,1,1
49.947408942,1,0
50.047350940,0,0
50.047398298,1,0
50.047398438,1,1
50.047408848,1,0
50.147355038,0,0
50.147398344,1,0
50.147398750,1,1
50.147409168,1,0
50.247351478,0,0
50.247397842,1,0
50.247397998,1,1
50.247408406,1,0
50.347349904,0,0
50.347397982,1,0
50.347398172,1,1
50.347408580,1,0
50.447350400,0,0
50.447397778,1,0
50.447397968,1,1
50.447408392,1,0
50.547350616,0,0
50.547397894,1,0
50.547398318,1,1
50.547408726,1,0
50.647352714,0,0
50.647397360,1,0
50.647397550,1,1
50.647407958,1,0
50.747350102,0,0
50.747397420,1,0
50.747397830,1,1
50.747408282,1,0
50.847349930,0,0
50.847397208,1,0
50.847397412,1,1
50.847407842,1,0
50.947350114,0,0
50.947397074,1,0
50.947397268,1,1
50.947407676,1,0
51.047349252,0,0
51.047396948,1,0
51.047397142,1,1
51.047407572,1,0
51.147349008,0,0
51.147396706,1,0
51.147396830,1,1
51.147407238,1,0
51.247349258,0,0
51.247396664,1,0
51.247396854,1,1
51.247407308,1,0
51.347349264,0,0
51.347396352,1,0
51.347396542,1,1
51.347406950,1,0
51.447349388,0,0
51.447396098,1,0
51.447396482,1,1
51.447457076,1,0
51.547349166,0,0
51.547396442,1,0
51.547396858,1,1
51.547417296,1,0
51.647349024,0,0
51.647396050,1,0
51.647396240,1,1
51.647406654,1,0
51.747348812,0,0
51.747395860,1,0
51.747395994,1,1
51.747406402,1,0
51.847349016,0,0
51.847395746,1,0
51.847395936,1,1
51.847406384,1,0
51.947350634,0,0
51.947395440,1,0
51.947395856,1,1
51.947406280,1,0
52.047347158,0,0
52.047395506,1,0
52.047395662,1,1
52.047466268,1,0
52.147350326,0,0
52.147395074,1,0
52.147395194,1,1
52.147405648,1,0
52.247350752,0,0
52.247395162,1,0
52.247395352,1,1
52.247405802,1,0
52.347346452,0,0
52.347394848,1,0
52.347395038,1,1
52.347405448,1,0
52.447349648,0,0
52.447394724,1,0
52.447394914,1,1
52.447405342,1,0
52.547347354,0,0
52.547394740,1,0
52.547394866,1,1
52.547405324,1,0
52.647347942,0,0
52.647394648,1,0
52.647394838,1,1
52.647405246,1,0
52.747348734,0,0
52.747394456,1,0
52.747394830,1,1
52.747405240,1,0
52.847347672,0,0
52.847394042,1,0
52.847394180,1,1
52.847404624,1,0
52.947347478,0,0
52.947394184,1,0
52.947394560,1,1
52.947404968,1,0
53.047346766,0,0
