Time [s],SheepS0,Sheep1,Sheep2
31.938824404,0,0,1
31.938824492,0,1,1
31.938824548,1,1,1
32.038809382,0,1,1
32.038809542,0,0,1
32.038809600,0,0,0
32.038822768,0,0,1
32.038822840,0,1,1
32.038822936,1,1,1
32.138808082,0,1,1
32.138808218,0,0,1
32.138808292,0,0,0
32.138821104,0,0,1
32.138821242,0,1,1
32.138821270,1,1,1
32.238805862,0,1,1
32.238807358,0,1,0
32.238810542,0,0,0
32.238819482,0,0,1
32.238819570,0,1,1
32.238819658,1,1,1
32.338804170,1,0,1
32.338804458,0,0,1
32.338805170,0,0,0
32.338817850,0,0,1
32.338817972,0,1,1
32.338818012,1,1,1
32.438802778,0,1,1
32.438802816,0,0,1
32.438803242,0,0,0
32.438816234,0,0,1
32.438816348,0,1,1
32.438816420,1,1,1
32.538801528,0,1,1
32.538801694,0,0,1
32.538801726,0,0,0
32.538814588,0,0,1
32.538814700,0,1,1
32.538814756,1,1,1
32.638799406,1,0,1
32.638799642,0,0,1
32.638800020,0,0,0
32.638812968,0,0,1
32.638813076,0,1,1
32.638813150,1,1,1
32.738797336,0,1,1
32.738797640,0,0,1
32.738798172,0,0,0
32.738811340,0,0,1
32.738811430,0,1,1
32.738811540,1,1,1
32.838796680,0,1,1
32.838796750,0,1,0
32.838799662,0,0,0
32.838809742,0,0,1
32.838809830,0,1,1
32.838809900,1,1,1
32.938794716,0,1,1
32.938795090,0,1,0
32.938795444,0,0,0
32.938808084,0,0,1
32.938808230,0,1,1
32.938808270,1,1,1
33.038793028,1,1,0
33.038793038,1,0,0
33.038793088,0,0,0
33.038806474,0,0,1
33.038806572,0,1,1
33.038806644,1,1,1
33.138791440,0,1,1
33.138791670,0,0,1
33.138792176,0,0,0
33.138804844,0,0,1
33.138804944,0,1,1
33.138804992,1,1,1
33.238789864,1,1,0
33.238790108,0,1,0
33.238791432,0,0,0
33.238803198,0,0,1
33.238803316,0,1,1
33.238803386,1,1,1
33.338788006,0,1,1
33.338788540,0,1,0
33.338788758,0,0,0
33.338801584,0,0,1
33.338801700,0,1,1
33.338801726,1,1,1
33.438786978,0,1,1
33.438787060,0,1,0
33.438787168,0,0,0
33.438799964,0,0,1
33.438800092,0,1,1
33.438800126,1,1,1
33.538785214,1,1,0
33.538785348,0,1,0
33.538786038,0,0,0
33.538798340,0,0,1
33.538798464,0,1,1
33.538798480,1,1,1
33.638783580,0,1,1
33.638784262,0,1,0
33.638785178,0,0,0
33.638796702,0,0,1
33.638796824,0,1,1
33.638796858,1,1,1
33.738781042,0,1,1
33.738781132,0,0,1
33.738781944,0,0,0
33.738795076,0,0,1
33.738795214,0,1,1
33.738795248,1,1,1
33.838780284,1,1,0
33.838780436,0,1,0
33.838782152,0,0,0
33.838793450,0,0,1
33.838793566,0,1,1
33.838793596,1,1,1
33.938778384,1,1,0
33.938778736,0,1,0
33.938779656,0,0,0
33.938791852,0,0,1
33.938791962,0,1,1
33.938791966,1,1,1
34.038776768,1,0,0
34.038776794,0,0,0
34.038790186,0,0,1
34.038790344,0,1,1
34.038790352,1,1,1
34.138775024,1,0,1
34.138775150,0,0,1
34.138775742,0,0,0
34.138788584,0,0,1
34.138788706,1,0,1
34.138788724,1,1,1
34.238774062,0,1,1
34.238774360,0,0,1
34.238774756,0,0,0
34.238786932,0,0,1
34.238787080,0,1,1
34.238787084,1,1,1
34.338771746,1,0,1
34.338772276,1,0,0
34.338772308,0,0,0
34.338785348,0,0,1
34.338785430,0,1,1
34.338785472,1,1,1
34.438770144,1,0,1
34.438770300,0,0,1
34.438770566,0,0,0
34.438783690,0,0,1
34.438783802,0,1,1
34.438783812,1,1,1
34.538768998,0,1,1
34.538769158,0,1,0
34.538774492,0,0,0
34.538782064,0,0,1
34.538782198,0,1,1
34.538782206,1,1,1
34.638766966,0,1,1
34.638767606,0,1,0
34.638767984,0,0,0
34.638780424,0,0,1
34.638780558,0,1,1
34.638780564,1,1,1
34.738764766,0,1,1
34.738764858,0,0,1
34.738765866,0,0,0
34.738778816,0,0,1
34.738778922,1,0,1
34.738778958,1,1,1
34.838764078,0,1,1
34.838764176,0,1,0
34.838766080,0,0,0
34.838777168,0,0,1
34.838777300,1,0,1
34.838777468,1,1,1
34.938762052,0,1,1
34.938762584,0,1,0
34.938762634,0,0,0
34.938775576,0,0,1
34.938775692,0,1,1
34.938775694,1,1,1
35.038760510,0,1,1
35.038760512,0,1,0
35.038760926,0,0,0
35.038773916,0,0,1
35.038774054,0,1,1
35.038774064,1,1,1
35.138758468,0,1,1
35.138758972,0,0,1
35.138759394,0,0,0
35.138772272,0,0,1
35.138772440,1,0,1
35.138772446,1,1,1
35.238757020,0,1,1
35.238758792,0,1,0
35.238760618,0,0,0
35.238770664,0,0,1
35.238770774,1,0,1
35.238770842,1,1,1
35.338755600,0,1,1
35.338755916,0,0,1
35.338756088,0,0,0
35.338769044,0,0,1
35.338769160,1,0,1
35.338769170,1,1,1
35.438753766,1,0,1
35.438753768,0,0,1
35.438754316,0,0,0
35.438767436,0,0,1
35.438767536,1,0,1
35.438767552,1,1,1
35.538752146,1,0,1
35.538752752,0,0,1
35.538752816,0,0,0
35.538765762,0,0,1
35.538765898,1,0,1
35.538765952,1,1,1
35.638750484,1,0,1
35.638750712,0,0,1
35.638751442,0,0,0
35.638764170,0,0,1
35.638764266,1,0,1
35.638764296,1,1,1
35.738748372,1,0,1
35.738748448,0,0,1
35.738749568,0,0,0
35.738762516,0,0,1
35.738762648,1,0,1
35.738762686,1,1,1
35.838747896,0,1,1
35.838748280,0,1,0
35.838748580,0,0,0
35.838760894,0,0,1
35.838761032,1,0,1
35.838761080,1,1,1
35.938745792,1,0,1
35.938745802,0,0,1
35.938746360,0,0,0
35.938759272,0,0,1
35.938759400,1,0,1
35.938759452,1,1,1
36.038744152,1,1,0
36.038744500,0,1,0
36.038746182,0,0,0
36.038757654,0,0,1
36.038757778,1,0,1
36.038757818,1,1,1
36.138742120,0,1,1
36.138742344,0,0,1
36.138743036,0,0,0
36.138756020,0,0,1
36.138756140,1,0,1
36.138756186,1,1,1
36.238740762,0,1,1
36.238742178,0,1,0
36.238746564,0,0,0
36.238754376,0,0,1
36.238754516,1,0,1
36.238754566,1,1,1
36.338739278,0,1,1
36.338739760,0,1,0
36.338740162,0,0,0
36.338752776,0,0,1
36.338752874,1,0,1
36.338752914,1,1,1
36.438737196,1,1,0
36.438737328,0,1,0
36.438739238,0,0,0
36.438751174,0,0,1
36.438751258,1,0,1
36.438751296,1,1,1
36.538736404,1,0,1
36.538736422,0,0,1
36.538736574,0,0,0
36.538749522,0,0,1
36.538749592,1,0,1
36.538749680,1,1,1
36.638734862,0,1,1
36.638735162,0,1,0
36.638735226,0,0,0
36.638747890,0,0,1
36.638747974,1,0,1
36.638748062,1,1,1
36.738732152,1,0,1
36.738732176,0,0,1
36.738733350,0,0,0
36.738746298,0,0,1
36.738746332,1,0,1
36.738746426,1,1,1
36.838731472,0,1,1
36.838731518,0,1,0
36.838734176,0,0,0
36.838744638,0,0,1
36.838744708,1,0,1
36.838744796,1,1,1
36.938728928,0,1,1
36.938729708,0,0,1
36.938730072,0,0,0
36.938743022,0,0,1
36.938743088,1,0,1
36.938743198,1,1,1
37.038727454,1,1,0
37.038727482,0,1,0
37.038729402,0,0,0
37.038741418,0,0,1
37.038741456,1,0,1
37.038741572,1,1,1
37.138726570,1,0,1
37.138726640,0,0,1
37.138726812,0,0,0
37.138739802,0,0,1
37.138739840,1,0,1
37.138739954,1,1,1
37.238725050,0,1,1
37.238725698,0,0,1
37.238726068,0,0,0
37.238738168,0,0,1
37.238738194,1,0,1
37.238738296,1,1,1
37.338723066,0,1,1
37.338723252,0,0,1
37.338723452,0,0,0
37.338736540,0,0,1
37.338736576,1,0,1
37.338736686,1,1,1
37.438721696,0,1,1
37.438722124,0,0,1
37.438722172,0,0,0
37.438734918,0,0,1
37.438734932,1,0,1
37.438735062,1,1,1
37.538720128,0,1,1
37.538720352,0,1,0
37.538720438,0,0,0
37.538733302,0,0,1
37.538733308,1,0,1
37.538733416,1,1,1
37.638718180,0,0,1
37.638718908,0,0,0
37.638731682,0,0,1
37.638731688,1,0,1
37.638731794,1,1,1
37.738715882,0,1,1
37.738717098,0,1,0
37.738717134,0,0,0
37.738730040,1,0,0
37.738730046,1,0,1
37.738730200,1,1,1
37.838715252,1,1,0
37.838715298,0,1,0
37.838717390,0,0,0
37.838728404,1,0,0
37.838728418,1,0,1
37.838728544,1,1,1
37.938713578,0,1,1
37.938714506,0,1,0
37.938714794,0,0,0
37.938726774,0,0,1
37.938726808,1,0,1
37.938726922,1,1,1
38.038711652,0,1,1
38.038711702,0,1,0
38.038712172,0,0,0
38.038725158,1,0,0
38.038725162,1,0,1
38.038725314,1,1,1
38.138709806,0,1,1
38.138709974,0,0,1
38.138710526,0,0,0
38.138723518,0,0,1
38.138723528,1,0,1
38.138723700,1,1,1
38.238708712,1,0,1
38.238708750,0,0,1
38.238709322,0,0,0
38.238721900,1,0,0
38.238721908,1,0,1
38.238722060,1,1,1
38.338706720,0,1,1
38.338706724,0,0,1
38.338707180,0,0,0
38.338720254,0,0,1
38.338720278,1,0,1
38.338720414,1,1,1
38.438705434,0,1,1
38.438705620,0,1,0
38.438706806,0,0,0
38.438718614,0,0,1
38.438718664,1,0,1
38.438718810,1,1,1
38.538703098,0,1,1
38.538704116,0,1,0
38.538709586,0,0,0
38.538717022,0,0,1
38.538717026,1,0,1
38.538717174,1,1,1
38.638701712,1,0,1
38.638701882,0,0,1
38.638702458,0,0,0
38.638715386,1,0,0
38.638715408,1,0,1
38.638715572,1,1,1
38.738699582,0,1,1
38.738700504,0,0,1
38.738700602,0,0,0
38.738713740,1,0,0
38.738713768,1,0,1
38.738713912,1,1,1
38.838698188,1,0,1
38.838698840,0,0,1
38.838699116,0,0,0
38.838712104,1,0,0
38.838712152,1,0,1
38.838712280,1,1,1
38.938696780,0,1,1
38.938696992,0,0,1
38.938697356,0,0,0
38.938710500,1,0,0
38.938710522,1,0,1
38.938710668,1,1,1
39.038695304,0,1,1
39.038695312,0,0,1
39.038695404,0,0,0
39.038708848,0,0,1
39.038708862,1,0,1
39.038709040,1,1,1
39.138693422,1,0,1
39.138693490,0,0,1
39.138694326,0,0,0
39.138707230,0,0,1
39.138707254,1,0,1
39.138707406,1,1,1
39.238692292,1,0,1
39.238692302,0,0,1
39.238692904,0,0,0
39.238705612,0,0,1
39.238705622,1,0,1
39.238705786,1,1,1
39.338690796,1,1,0
39.338690912,1,0,0
39.338691324,0,0,0
39.338703990,1,0,0
39.338703992,1,0,1
39.338704172,1,1,1
