Time [s],SheepS0,Sheep1,Sheep2
18.330360972,1,1,1
18.430345098,0,1,1
18.430345898,0,0,1
18.430346568,0,0,0
18.430359260,1,0,0
18.430359262,1,0,1
18.430359326,1,1,1
18.530344120,0,1,1
18.530344148,0,0,1
18.530344852,0,0,0
18.530357628,1,0,0
18.530357634,1,0,1
18.530357744,1,1,1
18.630342480,0,1,1
18.630342866,0,0,1
18.630343166,0,0,0
18.630356024,0,0,1
18.630356036,1,0,1
18.630356108,1,1,1
18.730340620,1,1,0
18.730340626,0,1,0
18.730341164,0,0,0
18.730354390,1,0,0
18.730354392,1,0,1
18.730354492,1,1,1
18.830339122,0,1,1
18.830339332,0,0,1
18.830339734,0,0,0
18.830352760,1,0,0
18.830352814,1,0,1
18.830352886,1,1,1
18.930337622,0,1,1
18.930337754,0,1,0
18.930337972,0,0,0
18.930351176,1,0,0
18.930351182,1,0,1
18.930351256,1,1,1
19.030336346,1,0,1
19.030336470,1,0,0
19.030336488,0,0,0
19.030349536,1,0,0
19.030349550,1,0,1
19.030349630,1,1,1
19.130334370,0,1,1
19.130334798,0,0,1
19.130334908,0,0,0
19.130347926,1,0,0
19.130347936,1,0,1
19.130348040,1,1,1
19.230332160,0,1,1
19.230332770,0,1,0
19.230333036,0,0,0
19.230346320,1,0,0
19.230346324,1,0,1
19.230346442,1,1,1
19.330331208,0,1,1
19.330331924,0,0,1
19.330332572,0,0,0
19.330344690,0,0,1
19.330344712,1,0,1
19.330344824,1,1,1
19.430329562,0,1,1
19.430329984,0,0,1
19.430330856,0,0,0
19.430343094,1,0,0
19.430343110,1,0,1
19.430343180,1,1,1
19.530328270,0,1,1
19.530328326,0,0,1
19.530328666,0,0,0
19.530341468,1,0,0
19.530341484,1,0,1
19.530341562,1,1,1
19.630326304,0,1,1
19.630326520,0,0,1
19.630326910,0,0,0
19.630339858,1,0,1
19.630339964,1,1,1
19.730324384,1,1,0
19.730324466,0,1,0
19.730324982,0,0,0
19.730338228,0,0,1
19.730338230,1,0,1
19.730338352,1,1,1
19.830323052,0,1,1
19.830323246,0,0,1
19.830323974,0,0,0
19.830336608,1,0,0
19.830336618,1,0,1
19.830336692,1,1,1
19.930321330,0,1,1
19.930321520,0,1,0
19.930322020,0,0,0
19.930334970,1,0,0
