V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,0003;1,99982;0,000296481;1,80884;-0,000300043;0,915368320730026
2,0;0,0003;1,99982;0,000296034;1,80882;-0,000300043;0,9167403554939497
2,0;0,0003;1,99982;0,000296553;1,8086;-0,000300045;0,915030754908537
2,0;0,0003;1,99981;0,000296391;1,80895;-0,000300047;0,9157187443291575
2,0;0,0003;1,99982;0,000296286;1,80869;-0,000300044;0,9158978631264544
2,0;0,0003;1,99981;0,000296337;1,80895;-0,000300042;0,9158703487779011
2,0;0,0003;1,99982;0,000296397;1,80891;-0,000300042;0,9156601214323057
2,0;0,0003;1,99982;0,000296501;1,80885;-0,000300039;0,9152994338055117
2,0;0,0004;1,99982;0,000394496;1,80902;-0,000400034;0,9172902168816057
2,0;0,0004;1,9998;0,000394759;1,80892;-0,000400035;0,9166398772013516
2,0;0,0004;1,99981;0,000394652;1,80843;-0,000400035;0,9166354508942735
2,0;0,0004;1,99982;0,000394608;1,80838;-0,000400034;0,9167054367800698
2,0;0,0004;1,99982;0,000394369;1,80867;-0,000400036;0,9174126718393644
2,0;0,0004;1,99983;0,000394517;1,80865;-0,000400036;0,9170537850870588
2,0;0,0004;1,99981;0,000394547;1,80848;-0,000400037;0,9169093275156626
2,0;0,0004;1,9998;0,000394584;1,80907;-0,000400034;0,9171201627137148
2,0;0,0004;1,99982;0,000394565;1,80888;-0,000400036;0,9170634129770728
2,0;0,0004;1,99982;0,000394561;1,80904;-0,000400033;0,9171469493882437
2,0;0,0005;1,9998;0,000492936;1,80839;-0,000500039;0,9173158004348237
2,0;0,0005;1,99981;0,000492564;1,80841;-0,00050004;0,9180159846322876
2,0;0,0005;1,99981;0,000492773;1,80845;-0,000500043;0,9176524284758156
2,0;0,0005;1,9998;0,000492879;1,80877;-0,000500042;0,9176201699426717
2,0;0,0005;1,99981;0,0004929;1,80839;-0,000500041;0,9173818804224828
2,0;0,0005;1,99982;0,000492968;1,80859;-0,00050004;0,9173503594421533
2,0;0,0005;1,99982;0,000492817;1,80827;-0,00050004;0,9174690775526317
2,0;0,0005;1,99982;0,000492915;1,80874;-0,000500039;0,9175232523206892
2,0;0,0005;1,99982;0,000493002;1,80865;-0,000500039;0,9173156906814016
2,0;0,0005;1,99982;0,000492681;1,80911;-0,000500039;0,9181468119514478
2,0;0,0006;1,9998;0,000591088;1,80854;-0,000600031;0,9180431624388923
2,0;0,0006;1,9998;0,000591074;1,80824;-0,000600029;0,9179095590864642
2,0;0,0006;1,99981;0,00059107;1,80856;-0,000600031;0,9180766816121594
2,0;0,0006;1,99981;0,000591057;1,80844;-0,00060003;0,9180344274986818
2,0;0,0006;1,9998;0,000591171;1,8085;-0,00060003;0,9178924382946116
2,0;0,0006;1,99981;0,000591182;1,80882;-0,000600027;0,9180285896016412
2,0;0,0006;1,99981;0,000591094;1,80826;-0,00060003;0,9178855931262105
2,0;0,0006;1,99982;0,00059117;1,80841;-0,000600032;0,917842191973843
2,0;0,0006;1,99981;0,000590971;1,80816;-0,000600031;0,9180273932203558
2,0;0,0006;1,99983;0,000591093;1,80837;-0,000600032;0,9179368622781312
2,0;0,0007;1,9998;0,000689431;1,80864;-0,00070002;0,9183013194064293
2,0;0,0007;1,99979;0,000689381;1,80831;-0,000700019;0,918203639380876
2,0;0,0007;1,99979;0,000689361;1,80848;-0,00070002;0,9183179137176435
2,0;0,0007;1,99979;0,000689345;1,80846;-0,000700021;0,91833038421714
2,0;0,0007;1,99978;0,000689435;1,80813;-0,00070002;0,9180462319905935
2,0;0,0007;1,99979;0,000689176;1,8085;-0,000700021;0,9185758943990547
2,0;0,0007;1,99979;0,000689354;1,80847;-0,000700021;0,9183234726725513
2,0;0,0007;1,99979;0,000689406;1,80844;-0,000700022;0,9182402852281794
2,0;0,0007;1,99979;0,000689449;1,80841;-0,000700021;0,9181664725678278
2,0;0,0007;1,99978;0,000689312;1,80853;-0,000700022;0,9184158002233086
2,0;0,0008;1,99983;0,000787526;1,80843;-0,000799986;0,9185992992748172
2,0;0,0008;1,99981;0,000787597;1,80811;-0,000799986;0,9183631435053585
2,0;0,0008;1,99982;0,000787644;1,80835;-0,000799987;0,9184267906904661
2,0;0,0008;1,99983;0,000787522;1,80819;-0,000799988;0,9184843517055498
2,0;0,0008;1,99982;0,000787508;1,80863;-0,000799987;0,9187276311952957
