origin;component;range;v_error_mean_mV;v_error_max_mV;v_error_std_mV;c_error_mean_mA;c_error_max_mA;c_error_std_mA
sheep0_cape_v230c1_profile_39_short_all_base;EMU_A;limited;0,208469388;0,6;0,164914037;0,011238003;0,124533567;0,010525907
sheep0_cape_v230c1_profile_39_short_all_base;EMU_B;full;0,0;0,0;0,0;0,137094195;4,301540427;0,480212872
sheep0_cape_v230c1_profile_39_short_all_base;EMU_B;limited;0,0;0,0;0,0;0,021470611;0,147090117;0,016257124
sheep0_cape_v230c1_profile_39_short_all_base;HRV;full;1,175914863;13,23;3,169765716;0,008697578;0,141021349;0,010555164
sheep0_cape_v230c1_profile_39_short_all_base;HRV;limited;0,248163265;0,86;0,222473798;0,005247455;0,060612297;0,005213123
sheep0_cape_v230c1_profile_40_short_emu_R10_0R;EMU_A;full;23,926833049122774;724,6199999999998;94,38520022402648;0,0292517798588368;1,850699774781842;0,1312929691771716
sheep0_cape_v230c1_profile_40_short_emu_R10_0R;EMU_A;limited;0,1997959183674338;0,6099999999999994;0,1691212644394298;0,0108689741248626;0,0901347384967253;0,0100361009972569
sheep0_cape_v230c1_profile_41_short_emu_C6_readd100nF;EMU_A;full;24,302929936842126;736,9199999999996;95,47804152675069;0,0242825229902826;1,524413586357884;0,117528550531639
sheep0_cape_v230c1_profile_41_short_emu_C6_readd100nF;EMU_A;limited;0,2152040816327653;0,6300000000001305;0,1779488069879464;0,0079175235535514;0,0812514288564131;0,0064955767620715
sheep0_cape_v230c1_profile_42_short_A5V_rmL;EMU_A;full;24,553226792982127;742,8499999999998;96,13198018736084;0,0240658713315317;1,525726878998988;0,1175674119476525
sheep0_cape_v230c1_profile_42_short_A5V_rmL;EMU_A;limited;0,2158163265307145;0,6500000000002615;0,1848768215313431;0,0076986691644604;0,0905033600212198;0,0062901298505417
sheep0_cape_v230c1_profile_42_short_A5V_rmL;HRV;full;1,2161342070175236;14,40000000000019;3,450384480147393;0,0084983527685881;0,1430649172550939;0,0105571543865848
sheep0_cape_v230c1_profile_42_short_A5V_rmL;HRV;limited;0,2154081632652357;0,7299999999998974;0,1886426821367485;0,0051146723469855;0,0550821217610228;0,0051157528590383
sheep0_cape_v230c1_profile_43_short_A16V_rmL;EMU_A;full;24,358514045614164;738,1799999999998;95,6476022641686;0,0238463461631373;1,5234246490310113;0,1165953841462592
sheep0_cape_v230c1_profile_43_short_A16V_rmL;EMU_A;limited;0,2414285714286686;0,720000000000276;0,2108437966293497;0,0076535423104883;0,1152409338437271;0,0062582057814902
