V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,0006;1,99982;0,000586763;1,80702;-0,000600037;0,9240327471405201
2,0;0,0006;1,99982;0,000586831;1,80715;-0,000600037;0,9239921420748826
2,0;0,0006;1,99981;0,000586701;1,80733;-0,000600037;0,9242935542644296
2,0;0,0006;1,99981;0,000586725;1,80742;-0,000600038;0,9243033117844948
2,0;0,0006;1,99981;0,000586773;1,80691;-0,000600038;0,9239669111896015
2,0;0,0007;1,99979;0,000684351;1,80741;-0,000700026;0,9245013568913457
2,0;0,0007;1,99979;0,000684152;1,80664;-0,000700026;0,924376293248323
2,0;0,0007;1,99978;0,000684284;1,80702;-0,000700025;0,9243956722040811
2,0;0,0007;1,99979;0,000684459;1,80686;-0,000700028;0,9240768369972727
2,0;0,0007;1,99978;0,000684374;1,8074;-0,000700027;0,9244711154127208
2,0;0,0007;1,99978;0,000684323;1,80687;-0,000700025;0,9242662609727509
2,0;0,0007;1,99979;0,000684325;1,80705;-0,000700023;0,9243483714878582
2,0;0,0007;1,99979;0,000684264;1,80722;-0,000700023;0,9245177409914739
2,0;0,0007;1,9998;0,000684345;1,8069;-0,000700025;0,9242426500283238
2,0;0,0007;1,9998;0,000684362;1,80709;-0,000700024;0,9243155548148092
2,0;0,0008;1,99982;0,000781742;1,80706;-0,000799993;0,9247075566313775
2,0;0,0008;1,99983;0,000781975;1,80728;-0,000799993;0,9245399491361894
2,0;0,0008;1,99982;0,000781816;1,80684;-0,000799994;0,9245086197862386
2,0;0,0008;1,99983;0,000781826;1,8067;-0,000799992;0,9244182281063519
2,0;0,0008;1,99983;0,000781861;1,8067;-0,000799992;0,9243768465334332
2,0;0,0008;1,99982;0,000781785;1,80707;-0,000799991;0,9246595007943419
2,0;0,0008;1,99982;0,000781847;1,80685;-0,000799993;0,9244759242032162
2,0;0,0008;1,99981;0,000781815;1,80686;-0,000799991;0,92452119179202
2,0;0,0008;1,99982;0,000781739;1,80702;-0,00079999;0,9246871688147063
2,0;0,0008;1,99981;0,000781774;1,80702;-0,00079999;0,9246503942642578
2,0;0,0009;1,99979;0,000879294;1,80683;-0,000899966;0,924751178044029
2,0;0,0009;1,99982;0,000879359;1,80694;-0,000899966;0,9247252452206914
2,0;0,0009;1,99982;0,000879364;1,80642;-0,000899968;0,9244559264121737
2,0;0,0009;1,99982;0,000879377;1,80662;-0,00089997;0,9245466653739706
2,0;0,0009;1,99982;0,000879436;1,80665;-0,000899969;0,9244989633302804
